Asset ID,Source File,Asset Type,Product,Format/Spec,Duration or Dimensions,Production Status,Priority,Owner,Notes
IMG05-17,CREATIVE-PRODUCTION-INVENTORY.csv (new),OG/social image,Prompt Club $9,"Social profile header, 1200x630 (OG) or platform spec",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must match live storefront copy exactly
IMG05-18,CREATIVE-PRODUCTION-INVENTORY.csv (new),OG/social image,Prompt Club $9,"Link-in-bio thumbnail, 1200x630 (OG) or platform spec",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must match live storefront copy exactly
IMG05-19,CREATIVE-PRODUCTION-INVENTORY.csv (new),OG/social image,Automation Templates $49,"Open Graph share image, 1200x630 (OG) or platform spec",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must match live storefront copy exactly
IMG05-20,CREATIVE-PRODUCTION-INVENTORY.csv (new),OG/social image,Automation Templates $49,"Social profile header, 1200x630 (OG) or platform spec",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must match live storefront copy exactly
IMG05-21,CREATIVE-PRODUCTION-INVENTORY.csv (new),OG/social image,Automation Templates $49,"Link-in-bio thumbnail, 1200x630 (OG) or platform spec",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must match live storefront copy exactly
IMG05-22,CREATIVE-PRODUCTION-INVENTORY.csv (new),OG/social image,Business Mastermind $199,"Open Graph share image, 1200x630 (OG) or platform spec",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must match live storefront copy exactly
IMG05-23,CREATIVE-PRODUCTION-INVENTORY.csv (new),OG/social image,Business Mastermind $199,"Social profile header, 1200x630 (OG) or platform spec",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must match live storefront copy exactly
IMG05-24,CREATIVE-PRODUCTION-INVENTORY.csv (new),OG/social image,Business Mastermind $199,"Link-in-bio thumbnail, 1200x630 (OG) or platform spec",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must match live storefront copy exactly
IMG05-25,CREATIVE-PRODUCTION-INVENTORY.csv (new),Email header graphic,Prompt Club $9,"600px wide, email-safe format",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must render correctly in dark mode email clients
IMG05-26,CREATIVE-PRODUCTION-INVENTORY.csv (new),Email header graphic,Prompt Club $9,"600px wide, email-safe format",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must render correctly in dark mode email clients
IMG05-27,CREATIVE-PRODUCTION-INVENTORY.csv (new),Email header graphic,Prompt Club $9,"600px wide, email-safe format",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must render correctly in dark mode email clients
IMG05-28,CREATIVE-PRODUCTION-INVENTORY.csv (new),Email header graphic,Automation Templates $49,"600px wide, email-safe format",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must render correctly in dark mode email clients
IMG05-29,CREATIVE-PRODUCTION-INVENTORY.csv (new),Email header graphic,Automation Templates $49,"600px wide, email-safe format",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must render correctly in dark mode email clients
IMG05-30,CREATIVE-PRODUCTION-INVENTORY.csv (new),Email header graphic,Automation Templates $49,"600px wide, email-safe format",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must render correctly in dark mode email clients
IMG05-31,CREATIVE-PRODUCTION-INVENTORY.csv (new),Email header graphic,Business Mastermind $199,"600px wide, email-safe format",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must render correctly in dark mode email clients
IMG05-32,CREATIVE-PRODUCTION-INVENTORY.csv (new),Email header graphic,Business Mastermind $199,"600px wide, email-safe format",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must render correctly in dark mode email clients
IMG05-33,CREATIVE-PRODUCTION-INVENTORY.csv (new),Email header graphic,Business Mastermind $199,"600px wide, email-safe format",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must render correctly in dark mode email clients
