Day,Date Placeholder,Asset ID,Channel,Offer,Funnel Stage,Content Pillar,Format,Hook,CTA,Source Asset,UTM String,Owner,Prerequisite,Status
80,[DATE: Day 80 of launch],V05-26,YouTube,The AI Automation Templates -8,MOFU,Framework,Video,"Contribution ledger: time saved, error rate, and the new work the change created.",Get Offer,AUTOMATION-TEMPLATE-PACK.md component 14,utm_source=youtube&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=v05-26,Manus,None,DRAFT
81,[DATE: Day 81 of launch],T05-17,X,The AI Business Mastermind -8,MOFU,Objection,Text,"'Working room' isn't what this is. Here's exactly what it is instead.",Get Offer,SELF-GUIDED-COPY-PATCHES.md summary,utm_source=x&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=t05-17,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
82,[DATE: Day 82 of launch],C05-27,Instagram,The Daily AI Prompt Club -8,TOFU,Practice,Carousel,"Compare your draft to your original goal. Does it achieve it, or just look done?",Learn More,30-DAY-PROMPT-PRACTICE.md Day 26,utm_source=instagram&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=c05-27,Manus,None,DRAFT
83,[DATE: Day 83 of launch],V05-27,TikTok,The AI Automation Templates -8,TOFU,Story,Video,"Not a vendor recommendation. Not an implementation service. A framework you run.",Learn More,02-AI-AUTOMATION-TEMPLATES START-HERE.md,utm_source=tiktok&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=v05-27,Manus,None,DRAFT
84,[DATE: Day 84 of launch],C05-28,Pinterest,The AI Business Mastermind -8,BOFU,Offer,Pin,"$199, one-time. A self-guided decision framework, not a subscription.",Shop Now,STOREFRONT-SOURCE.html line 599,utm_source=pinterest&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=c05-28,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
85,[DATE: Day 85 of launch],V05-28,YouTube,The Daily AI Prompt Club -8,MOFU,Objection,Video,"Go through your tracker. Pull every prompt marked worth reusing. Organize them.",Get Offer,30-DAY-PROMPT-PRACTICE.md Day 29,utm_source=youtube&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=v05-28,Manus,None,DRAFT
86,[DATE: Day 86 of launch],N05-13,Beehiiv,The AI Automation Templates -8,MOFU,Framework,Text,"Score your workflow 1-3 on five questions before you pilot it.",Get Offer,02-AI-AUTOMATION-TEMPLATES QUICK-REFERENCE.md readiness score,utm_source=beehiiv&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=t05-18,Manus,None,DRAFT
87,[DATE: Day 87 of launch],T05-19,X,The AI Business Mastermind -8,MOFU,Proof,Text,"Write your Test Brief in one paragraph. If you can't, the scope is too big.",Get Offer,LEAD-MAGNET-3-AI-OPERATOR-CANVAS.md Test Brief,utm_source=x&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=t05-19,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
88,[DATE: Day 88 of launch],C05-29,Instagram,The Daily AI Prompt Club -8,BOFU,Offer,Carousel,"$9. Instant download. 30 days, one prompt a day, no subscription.",Shop Now,STOREFRONT-SOURCE.html line 534,utm_source=instagram&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=c05-29,Manus,None,DRAFT
89,[DATE: Day 89 of launch],V05-29,TikTok,The AI Automation Templates -8,BOFU,Offer,Video,"$49. Instant download. 14 documents, one pilot tracker, one real workflow.",Shop Now,STOREFRONT-SOURCE.html line 566,utm_source=tiktok&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=v05-29,Manus,None,DRAFT
90,[DATE: Day 90 of launch],C05-30,Pinterest,The AI Business Mastermind -8,TOFU,Practice,Pin,"Five decisions before your next AI test: outcome, owner, inputs, review, measure.",Learn More,LEAD-MAGNET-3-AI-OPERATOR-CANVAS.md,utm_source=pinterest&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=c05-30,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
